2020-04-26 01:07:53.866 [info] <0.44.0> Application credentials_obfuscation started on node nonode@nohost
2020-04-26 01:07:53.867 [info] <0.44.0> Application rabbit_common started on node nonode@nohost
2020-04-26 01:07:53.911 [info] <0.44.0> Application amqp_client started on node nonode@nohost
2020-04-26 01:07:53.932 [info] <0.44.0> Application amqp started on node nonode@nohost
2020-04-26 01:07:53.953 [info] <0.44.0> Application jason started on node nonode@nohost
2020-04-26 01:07:53.981 [info] <0.44.0> Application connection started on node nonode@nohost
2020-04-26 01:07:53.999 [info] <0.44.0> Application decimal started on node nonode@nohost
2020-04-26 01:07:54.046 [info] <0.44.0> Application db_connection started on node nonode@nohost
2020-04-26 01:07:54.109 [info] <0.44.0> Application postgrex started on node nonode@nohost
2020-04-26 01:07:54.136 [info] <0.44.0> Application ecto started on node nonode@nohost
2020-04-26 01:07:54.142 [info] <0.44.0> Application ecto_sql started on node nonode@nohost
2020-04-26 01:07:54.165 [info] <0.44.0> Application cowlib started on node nonode@nohost
2020-04-26 01:07:54.188 [info] <0.44.0> Application cowboy started on node nonode@nohost
2020-04-26 01:07:54.199 [info] <0.44.0> Application plug_cowboy started on node nonode@nohost
2020-04-26 01:07:54.211 [info] <0.44.0> Application phoenix_ecto started on node nonode@nohost
2020-04-26 01:07:54.756 [info] <0.44.0> Application microservice_2 started on node nonode@nohost
2020-04-26 01:12:39.810 [info] <0.60.0> SIGTERM received - shutting down
2020-04-26 01:13:26.102 [info] <0.44.0> Application lager started on node nonode@nohost
2020-04-26 01:13:26.137 [info] <0.44.0> Application xmerl started on node nonode@nohost
2020-04-26 01:13:26.293 [info] <0.44.0> Application sasl started on node nonode@nohost
2020-04-26 01:13:26.331 [info] <0.44.0> Application tools started on node nonode@nohost
2020-04-26 01:13:26.360 [info] <0.44.0> Application jsx started on node nonode@nohost
2020-04-26 01:13:26.453 [info] <0.44.0> Application ranch started on node nonode@nohost
2020-04-26 01:13:26.478 [info] <0.44.0> Application recon started on node nonode@nohost
2020-04-26 01:13:26.656 [info] <0.44.0> Application credentials_obfuscation started on node nonode@nohost
2020-04-26 01:13:26.664 [info] <0.44.0> Application rabbit_common started on node nonode@nohost
2020-04-26 01:13:26.710 [info] <0.44.0> Application amqp_client started on node nonode@nohost
2020-04-26 01:13:26.725 [info] <0.44.0> Application amqp started on node nonode@nohost
2020-04-26 01:13:26.737 [info] <0.44.0> Application jason started on node nonode@nohost
2020-04-26 01:13:26.772 [info] <0.44.0> Application connection started on node nonode@nohost
2020-04-26 01:13:26.812 [info] <0.44.0> Application decimal started on node nonode@nohost
2020-04-26 01:13:26.925 [info] <0.44.0> Application db_connection started on node nonode@nohost
2020-04-26 01:13:27.068 [info] <0.44.0> Application postgrex started on node nonode@nohost
2020-04-26 01:13:27.124 [info] <0.44.0> Application ecto started on node nonode@nohost
2020-04-26 01:13:27.134 [info] <0.44.0> Application ecto_sql started on node nonode@nohost
2020-04-26 01:13:27.191 [info] <0.44.0> Application cowlib started on node nonode@nohost
2020-04-26 01:13:27.217 [info] <0.44.0> Application cowboy started on node nonode@nohost
2020-04-26 01:13:27.225 [info] <0.44.0> Application plug_cowboy started on node nonode@nohost
2020-04-26 01:13:27.242 [info] <0.44.0> Application phoenix_ecto started on node nonode@nohost
2020-04-26 01:13:44.973 [info] <0.44.0> Application lager started on node nonode@nohost
2020-04-26 01:13:45.048 [info] <0.44.0> Application xmerl started on node nonode@nohost
2020-04-26 01:13:45.214 [info] <0.44.0> Application sasl started on node nonode@nohost
2020-04-26 01:13:45.251 [info] <0.44.0> Application tools started on node nonode@nohost
2020-04-26 01:13:45.269 [info] <0.44.0> Application jsx started on node nonode@nohost
2020-04-26 01:13:45.343 [info] <0.44.0> Application ranch started on node nonode@nohost
